Método,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Tiempo 6,Tiempo 7,Tiempo 8,Tiempo 9,Tiempo 10,Tiempo 11,Tiempo 12,Tiempo 13,Tiempo 14,Tiempo 15
Algoritmo inicialización,0.274179917,0.029524292,0.028009,0.028225333,0.025599417,0.027982792,0.027176875,0.027351292,0.02704025,0.028919541,0.027076209,0.028476375,0.026853334,0.027311125,0.028777917
Aleatorio y Backpropagation,6.203886915,5.063537042,5.082766249,6.014708251,5.128079959000001,5.120265001,5.071514540999999,5.10520071,5.961476874000001,5.022621415,5.022854251,5.073831126000001,5.064733208000001,5.147634583,5.179978751
