Método,Error entrenamiento 1,Error entrenamiento 2,Error entrenamiento 3,Error entrenamiento 4,Error entrenamiento 5,Error entrenamiento 6,Error entrenamiento 7,Error entrenamiento 8,Error entrenamiento 10,Error entrenamiento 11,Error entrenamiento 12,Error entrenamiento 13,Error entrenamiento 14,Error entrenamiento 15
Algoritmo inicialización,0.015450959799898878,0.02036560128419838,0.01860506078631223,0.018352257751089094,0.015761799102139915,0.020236180371691323,0.015079277709071862,0.01637952035995003,0.017948717556427896,0.019945557002292474,0.01661533897841697,0.016410412323682545,0.020747917818904223,0.016152577266901332
Aleatorio y Backpropagation,0.5736027612390292,0.5826000563977665,0.5600209742817601,0.5653315557343409,0.580078355443119,0.5825777614383504,0.5680350947531905,0.5602507170589771,0.5692227107462425,0.5742317756350493,0.5553409036888265,0.5704177573005663,0.5825300293968598,0.575503737651933
