Función,Media_Tiempo,Desviacion_tipica,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Tiempo 6,Tiempo 7,Tiempo 8,Tiempo 9,Tiempo 10,Tiempo 11,Tiempo 12,Tiempo 13,Tiempo 14,Tiempo 15,Tiempo 16,Tiempo 17,Tiempo 18,Tiempo 19,Tiempo 20
cte 1 (para comparar),1479.3963895499999,27.877839834478706,1422.595458,1418.968208,1435.648834,1451.260833,1483.429917,1489.4502499999999,1487.801125,1479.8354160000001,1489.632833,1497.870209,1503.568958,1516.011709,1496.229208,1523.278458,1477.823916,1474.861875,1491.590334,1471.494125,1491.635958,1484.940167
Identidad (para comparar),1502.8159749499998,32.453033532568526,1422.1549579999999,1463.2770420000002,1457.36025,1477.206167,1483.226833,1518.3744159999999,1507.581459,1509.3012919999999,1502.065625,1537.2037919999998,1534.3013329999999,1541.852,1511.7836659999998,1564.185292,1509.311416,1494.571541,1483.914959,1508.889291,1524.58575,1505.172417
Threshold de 2x,1574.2782144999999,26.19877747966289,1533.155375,1542.945334,1531.6367500000001,1553.750625,1553.532792,1576.076333,1562.882666,1597.0976249999999,1567.345166,1592.828375,1574.119166,1641.0309169999998,1569.302792,1609.0236659999998,1575.680625,1599.879958,1583.898083,1568.931708,1566.7837499999998,1585.6625840000002
Cosine CosineSquasher,1533.43925825,22.733524509822605,1483.370292,1529.788417,1507.3788749999999,1513.7478330000001,1523.206541,1527.219292,1553.45325,1526.4971249999999,1534.381625,1532.356542,1557.678666,1586.500166,1529.175417,1541.721166,1555.0377500000002,1543.417917,1532.122625,1504.569666,1560.0335,1527.1285
Indicadora de 0,1571.5906269500001,25.66029877559392,1530.310666,1510.799792,1531.307959,1556.22975,1593.662375,1580.371875,1567.668125,1572.104791,1568.050541,1589.701208,1574.4542909999998,1616.366125,1583.798417,1580.45675,1558.204875,1612.064625,1578.9195,1567.215083,1574.701666,1585.424125
Rampa,1565.55268965,27.824727168755857,1508.886334,1512.537417,1512.219833,1560.424625,1586.15975,1570.734791,1565.095375,1564.2834169999999,1566.1645420000002,1597.9955,1558.466,1616.9915839999999,1575.555,1559.609167,1554.29975,1590.9699580000001,1583.159333,1572.569875,1571.801167,1583.1303750000002
ReLU,1569.6126646,30.85468935078132,1514.009125,1519.9355,1521.097333,1531.6746249999999,1604.01525,1586.902792,1579.874417,1539.151792,1581.816417,1622.808917,1603.308916,1578.1585,1604.49775,1556.175125,1566.514,1562.3457919999998,1586.23875,1577.6859160000001,1584.720667,1571.321708
Sigmoid,1615.9452916999996,24.53191747628969,1575.397125,1586.6675420000001,1572.7375,1579.116708,1621.9598330000001,1640.3015830000002,1631.297875,1600.907625,1598.760834,1672.627416,1631.379792,1629.6779999999999,1613.731208,1618.24225,1622.782167,1612.985709,1622.100917,1629.903375,1633.3945,1624.933875
Tangente hiperbolica,1645.8325625000002,22.739649647733845,1608.297125,1619.327167,1631.482584,1615.7984999999999,1688.092292,1634.5200829999999,1664.0517909999999,1643.749333,1633.424,1651.1214169999998,1661.184292,1677.607792,1671.4235410000001,1614.730291,1662.35025,1647.96875,1644.35525,1623.3039170000002,1661.6225,1662.240375
Valor absoluto,1571.6044751499999,23.514181731859324,1539.864167,1514.307958,1558.6402500000002,1565.540334,1622.9502499999999,1562.74,1562.38625,1586.594292,1566.277292,1581.981167,1578.5925,1607.403333,1583.238875,1548.5925419999999,1571.841375,1585.039667,1578.994125,1564.093125,1560.465334,1592.5466669999998
coseno,1643.4783937500001,31.086630242125377,1592.4714589999999,1593.551,1616.250875,1597.969333,1697.807458,1643.239208,1641.393125,1618.721125,1679.9986250000002,1666.3395830000002,1671.886458,1644.287333,1695.138291,1631.539959,1651.111459,1632.9545,1675.1975,1635.668041,1651.232209,1632.810334
hardtanh,1503.74345215,33.04406962928375,1449.557042,1460.774917,1483.252083,1465.52575,1523.139667,1514.251166,1498.720208,1497.550208,1495.5913329999998,1542.682041,1607.796167,1497.7496669999998,1512.508291,1493.558292,1513.023709,1505.951084,1482.112667,1522.0708750000001,1506.872292,1502.181584
LReLU,1575.1675042,27.54814870025722,1505.930333,1544.744375,1555.904334,1541.407041,1582.762583,1554.114625,1592.81825,1582.8344160000001,1579.263083,1578.6325000000002,1639.629959,1594.8073339999999,1581.6552909999998,1555.027709,1597.7337499999999,1579.486209,1568.691917,1584.016542,1598.614875,1585.274958
