Función,Media_Tiempo,Desviacion_tipica,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Tiempo 6,Tiempo 7
cte 1 (para comparar),70.00812499999999,10.598946510810558,94.010375,65.81425,65.52933399999999,67.211167,66.013208,65.882916,65.595625
Identidad (para comparar),77.59652385714286,30.969264422785916,147.820584,65.776709,65.59704099999999,65.536542,65.945583,66.868083,65.631125
Threshold de 2x+3x^5+ 100*x^100,67.02997628571428,2.172782566524986,71.913375,65.795417,66.457083,66.36475,66.11241700000001,65.946667,66.620125
Consine CosineSquasher,73.21021428571429,15.301958411167812,107.908,67.490375,67.529292,67.19979099999999,67.056417,67.713625,67.574
Indicadora de 0,68.50922042857142,2.4589073431741215,73.935125,67.016459,68.678584,67.842958,67.384,67.03791700000001,67.6695
Rampa,71.642256,2.3445582994659526,76.80612500000001,71.251834,70.016458,70.545625,71.59712499999999,70.249375,71.02925
ReLU,71.74067271428571,2.775013373083679,77.91754200000001,70.642584,70.161833,71.000834,70.504291,71.7255,70.23212500000001
Threshold de polinomio 2x,66.56707742857144,0.7646185950443695,68.22862500000001,66.457292,66.37712499999999,66.10225,65.889833,66.449875,66.464542
