Función,Media_Tiempo,Desviacion_tipica,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Tiempo 6,Tiempo 7,Tiempo 8,Tiempo 9,Tiempo 10,Tiempo 11,Tiempo 12,Tiempo 13,Tiempo 14,Tiempo 15,Tiempo 16,Tiempo 17,Tiempo 18,Tiempo 19,Tiempo 20
cte 1 (para comparar),46.9538312,3.5683304900595307,59.492625000000004,50.142375,43.640208,44.107791,48.052875,45.078916,50.189375,44.166958,45.305958,49.652542000000004,45.536709,45.253667,45.4295,45.016792,48.38916699999999,44.687625000000004,46.045415999999996,47.507417000000004,45.63325,45.747457999999995
Identidad (para comparar),44.7596251,1.6811566737875152,47.024,43.105625,42.850584,45.876833999999995,43.781208,44.284459,43.800625000000004,43.454042,47.104625,44.46175,43.234625,47.538709,44.241625,43.555792000000004,43.134833,43.993916,47.03975,44.097875,44.554,48.057625
Threshold de 2x,48.2308,1.7377703712445962,50.21,46.435542000000005,48.916958,46.109458,47.05725,50.195042,46.525417,49.874750000000006,46.658041999999995,46.602290999999994,49.11725,47.784167000000004,51.452166,48.720042,46.225584,49.479291,45.680375000000005,49.033625,50.453875000000004,48.084875
Cosine CosineSquasher,50.51900415000001,9.369431928367348,89.292958,51.533125,45.919792,46.935792,49.711333,47.105333,50.020500000000006,46.245957999999995,47.664958,49.303709,46.965542,51.814917,46.759416,46.016417,51.938875,46.512291999999995,47.079042,50.166791,47.578958,51.814375000000005
Indicadora de 0,48.586914549999996,2.1229173181474996,52.8065,49.163083,49.230083,50.954584,46.570667,49.937374999999996,45.701875,46.852875000000004,49.986999999999995,46.236792,51.4325,46.613958,46.971792,48.986000000000004,47.051583,50.873416999999996,49.275375000000004,46.154125,50.470166,46.468541
Rampa,48.50382725,2.2807191177204764,50.286249999999995,53.254957999999995,45.05633400000001,49.658500000000004,49.509458,45.985875,49.882292,50.020959,46.572458999999995,50.577792,47.187667000000005,46.584083,49.893416,45.451459,50.681334,46.984958,46.024417,50.647125,46.309459,49.50775
ReLU,48.6193625,2.4707630659591038,53.845,47.845709,45.786166,51.561625,46.938541,49.755958,46.989875,46.726375,49.664874999999995,46.911125,53.535917000000005,49.2765,45.995416,51.260542,46.547667000000004,47.736417,49.15725,47.283084,50.023666,45.545542000000005
Sigmoid,49.97643325,1.8422576517718374,51.004083,52.21295799999999,50.169041,48.932916,51.689792,47.528583,51.461125,50.761709,47.427249999999994,53.001166000000005,50.482583999999996,48.571375,50.108374999999995,47.977917000000005,51.191,52.137665999999996,46.911666999999994,51.441208,48.458792,48.059458
Tangente hiperbolica,51.86659175,2.682112450832815,59.511041,50.285959,49.506333,53.763459,50.065417000000004,52.2655,54.033958,49.302042,52.471375,52.686667,50.82475,52.795458,49.89175,51.729292,48.306667,50.469291999999996,52.344125,48.134042,55.618500000000004,53.326208
Valor absoluto,48.38100204999999,1.8261494684125152,48.530375,48.190042000000005,48.544041,47.565375,51.567958999999995,46.400625,47.194624999999995,49.960083000000004,46.296458,52.406417,49.543625,47.478209,49.694125,45.335665999999996,46.75925,50.262916999999995,46.481916999999996,49.228291,47.735333,48.444708000000006
coseno,50.414798000000005,2.036090170408988,52.199917,52.265875,47.563208,52.016334,49.408417,51.861334,51.847625,47.75875,51.693667,49.859583,48.203292000000005,52.841041999999995,47.312875,51.817583,51.77975,48.14725,51.065625000000004,47.614083,49.619958,53.419792
hardtanh,46.55577695,2.1558412166996193,49.663375,45.246541,47.07175,45.484833,45.396666,49.262541999999996,44.831958,48.086667,43.929584,45.84625,48.258167,45.460750000000004,43.891332999999996,45.042,46.540708,51.076416,43.604167,45.665666,49.80375,46.952416
LReLU,48.62770405,2.130201153870229,48.71595799999999,49.625333,45.556540999999996,47.56375,50.82075,48.95125,50.075,46.031375,46.353249999999996,51.324625,46.74475,50.282208000000004,48.57,46.685291,51.301125000000006,46.612500000000004,46.334125,51.26175,47.434,52.310500000000005
